Migration ID,Migration Technique,Workload,Available Network Bandwidth (mbps),Page Dirty Rate (4KB pages per second),VM_SIZE (MB),Page transfer rate (MB/s),Total Migration Time (ms),Downtime (ms),Total Transferred Data (KB)
1463792988,xbzrle,parsec,880,1773,385.3359375,150,4801,245,515686
1463793055,xbzrle,dacapo,929,15885,718.12890625,150,13680,328,1551935
1463793363,xbzrle,dacapo,843,16049,718.76953125,150,12654,62,1303136
1463793440,xbzrle,mem,663,37042,466.01171875,150,19569,742,1585043
1463793523,xbzrle,mem,876,27782,1115.59375,150,25818,230,2761902
1463793609,xbzrle,mem,923,1088,773.421875,150,7357,216,829332
1463793749,xbzrle,mem,931,19073,1083.37890625,150,17871,81,2031856
1463793904,xbzrle,mplayer,847,14414,2026.01171875,150,27009,353,2793284
1463812211,original,mplayer,914,14450,730.3203125,150,13108,500,1463008
1463812288,original,mem,925,18715,1079.47265625,150,28435,297,3211230
1463812378,original,mplayer,893,4802,704.77734375,150,6991,235,761969
1463812526,original,dacapo,923,15984,660.19140625,150,6838,281,771022
1463812760,original,parsec,879,149,302.96484375,150,2987,165,320598
1463812826,original,mem,925,10695,961.91015625,150,13531,287,1527854
1463812900,original,mem,819,9734,961.92578125,150,15706,287,1570390
1463812978,original,parsec,905,150,406.2578125,150,4818,302,532577
1463813213,original,parsec,878,152,411.3125,150,5010,264,537391
1463813282,original,parsec,872,21323,781.78125,150,12863,314,1369477
1463813666,auto-converge,mplayer,875,14310,733.453125,150,10310,298,1102006
1463813741,auto-converge,mem,932,19067,1079.55859375,150,27200,308,3096615
1463813831,auto-converge,mplayer,896,4470,706.66015625,150,6978,206,763680
1463813979,auto-converge,dacapo,921,15995,676.2890625,150,7405,234,833149
1463814210,auto-converge,parsec,830,165,299.06640625,150,3122,151,316346
1463814278,auto-converge,mem,917,10726,961.62890625,150,13718,295,1535896
